tipo_del_edificio,edificio,direccin,distrito,clase,unidades,consumo,puesta_en_servicio,potencia_kwp,empresa_instaladora
deportivo,cdm_margot_molés_vicálvaro,paseo_polideportivo_3_28032_madrid,vicalvaro,energía_activa,kwh,355790,20220401,nan,empresa_desconocida
deportivo,cdm_margot_molés_vicálvaro,paseo_polideportivo_3_28032_madrid,vicalvaro,energía_reactiva,kvarh,550,20220401,nan,empresa_desconocida
deportivo,cdm_maría_jesús_rosa,avenida_monforte_de_lemos_38_28029_madrid,fuencarral_el_pardo,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,cdm_maría_jesús_rosa,avenida_monforte_de_lemos_38_28029_madrid,fuencarral_el_pardo,energía_reactiva,kvarh,225350,20220401,nan,empresa_desconocida
deportivo,cdm_maría_jesús_rosa,avenida_monforte_de_lemos_38_28029_madrid,fuencarral_el_pardo,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_miguel_guillen_prim,calle_fuentidueña_6_esquina_calle_puerto_porzuna_28031_madrid,villa_de_vallecas,energía_activa,kwh,90230,20220401,nan,empresa_desconocida
deportivo,cdm_miguel_guillen_prim,calle_fuentidueña_6_esquina_calle_puerto_porzuna_28031_madrid,villa_de_vallecas,energía_reactiva,kvarh,13700,20220401,nan,empresa_desconocida
deportivo,cdm_miguel_guillen_prim,calle_fuentidueña_6_esquina_calle_puerto_porzuna_28031_madrid,villa_de_vallecas,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_moratalaz,calle_valdebernardo_2_28030_madrid,moratalaz,energía_activa,kwh,452390,20220401,nan,empresa_desconocida
deportivo,cdm_moratalaz,calle_valdebernardo_2_28030_madrid,moratalaz,energía_reactiva,kvarh,151250,20220401,nan,empresa_desconocida
deportivo,cdm_moratalaz,calle_valdebernardo_2_28030_madrid,moratalaz,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_orcasitas,avenida_rafaela_ybarra_52_28026_madrid,usera,energía_activa,kwh,38070,20220401,nan,empresa_desconocida
deportivo,cdm_orcasur,calle_moreja_11_28041_madrid,usera,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,cdm_orcasur,calle_moreja_11_28041_madrid,usera,energía_reactiva,kvarh,118370,20220401,nan,empresa_desconocida
deportivo,cdm_plata_y_castañar,paseo_plata_y_castañar_7_28021_madrid,villaverde,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,cdm_plata_y_castañar,paseo_plata_y_castañar_7_28021_madrid,villaverde,energía_reactiva,kvarh,15130,20220401,nan,empresa_desconocida
deportivo,cdm_plata_y_castañar,paseo_plata_y_castañar_7_28021_madrid,villaverde,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_playa_victoria,calle_hierbabuena_2_28039_madrid,tetuan,energía_activa,kwh,243960,20220401,nan,empresa_desconocida
deportivo,cdm_playa_victoria,calle_hierbabuena_2_28039_madrid,tetuan,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
deportivo,cdm_playa_victoria,calle_hierbabuena_2_28039_madrid,tetuan,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_pradillo,calle_pradillo_33_28002_madrid,chamartin,energía_activa,kwh,335090,20220401,nan,empresa_desconocida
deportivo,cdm_pradillo,calle_pradillo_33_28002_madrid,chamartin,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
deportivo,cdm_pradillo,calle_pradillo_33_28002_madrid,chamartin,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_pueblo_nuevo,calle_francisco_rioja_14_28017_madrid,ciudad_lineal,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,cdm_pueblo_nuevo,calle_francisco_rioja_14_28017_madrid,ciudad_lineal,energía_reactiva,kvarh,76970,20220401,nan,empresa_desconocida
deportivo,cdm_pueblo_nuevo,calle_francisco_rioja_14_28017_madrid,ciudad_lineal,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_raúl_gonzález,calle_benimamet_137_28021_madrid,villaverde,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,cdm_raúl_gonzález,calle_benimamet_137_28021_madrid,villaverde,energía_reactiva,kvarh,125540,20220401,nan,empresa_desconocida
deportivo,cdm_raúl_gonzález,calle_benimamet_137_28021_madrid,villaverde,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_samaranch,paseo_imperial_20_28005_madrid,arganzuela,energía_activa,kwh,445010,20220401,nan,empresa_desconocida
deportivo,cdm_samaranch,paseo_imperial_20_28005_madrid,arganzuela,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_san_blas,calle_arcos_de_jalon_59_28037_madrid,san_blas_canillejas,energía_activa,kwh,784980,20220401,nan,empresa_desconocida
deportivo,cdm_san_blas,calle_arcos_de_jalon_59_28037_madrid,san_blas_canillejas,energía_reactiva,kvarh,217590,20220401,nan,empresa_desconocida
deportivo,cdm_san_blas,calle_arcos_de_jalon_59_28037_madrid,san_blas_canillejas,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_san_cristóbal,plaza_pinazo_9_28021_madrid,villaverde,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,cdm_san_cristóbal,plaza_pinazo_9_28021_madrid,villaverde,energía_reactiva,kvarh,630,20220401,nan,empresa_desconocida
deportivo,cdm_san_cristóbal,plaza_pinazo_9_28021_madrid,villaverde,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_san_juan_bautista,calle_treviana_1_28043_madrid,ciudad_lineal,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,cdm_san_juan_bautista,calle_treviana_1_28043_madrid,ciudad_lineal,energía_reactiva,kvarh,95120,20220401,nan,empresa_desconocida
deportivo,cdm_san_juan_bautista,calle_treviana_1_28043_madrid,ciudad_lineal,gas,m3,00,20220401,nan,empresa_desconocida
deportivo,cdm_vicente_del_bosque,avenida_monforte_de_lemos_13_28029_madrid,fuencarral_el_pardo,energía_activa,kwh,259080,20220401,nan,empresa_desconocida
deportivo,cdm_vicente_del_bosque,avenida_monforte_de_lemos_13_28029_madrid,fuencarral_el_pardo,energía_reactiva,kvarh,830,20220401,nan,empresa_desconocida
deportivo,cdm_wilfred_agbonavbare_alberto_garcía,calle_reguera_de_tomateros_39b_28053_madrid,puente_de_vallecas,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,cdm_wilfred_agbonavbare_alberto_garcía,calle_reguera_de_tomateros_39b_28053_madrid,puente_de_vallecas,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
deportivo,cdm_wilfred_agbonavbare_alberto_garcía,calle_reguera_de_tomateros_39b_28053_madrid,puente_de_vallecas,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_arquitecto_gaudí,calle_rosa_jardon_10_28016_madrid,chamartin,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_arquitecto_gaudí,calle_rosa_jardon_10_28016_madrid,chamartin,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_bolivia,calle_villavaliente_29_28011_madrid,latina,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_bolivia,calle_villavaliente_29_28011_madrid,latina,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_bolivia,calle_villavaliente_29_28011_madrid,latina,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_ciudad_de_roma,calle_juan_esplandiu_2_28007_madrid,retiro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_ciudad_de_roma,calle_juan_esplandiu_2_28007_madrid,retiro,energía_reactiva,kvarh,4820,20220401,nan,empresa_desconocida
educativo,ceip_claudio_moyano,calle_cea_bermudez_26_28003_madrid,chamberi,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_claudio_moyano,calle_cea_bermudez_26_28003_madrid,chamberi,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_claudio_moyano,calle_cea_bermudez_26_28003_madrid,chamberi,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_concepción_arenal,calle_antonio_lopez_1_28019_madrid,carabanchel,energía_activa,kwh,54460,20220401,nan,empresa_desconocida
educativo,ceip_concepción_arenal,calle_antonio_lopez_1_28019_madrid,carabanchel,energía_reactiva,kvarh,4480,20220401,nan,empresa_desconocida
educativo,ceip_concepción_arenal,calle_antonio_lopez_1_28019_madrid,carabanchel,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_cristóbal_colón,carretera_carabanchel_a_villaverde_109_28041_madrid,villaverde,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_cristóbal_colón,carretera_carabanchel_a_villaverde_109_28041_madrid,villaverde,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_cristóbal_colón,carretera_carabanchel_a_villaverde_109_28041_madrid,villaverde,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_escuelas_aguirre,calle_pio_baroja_4_28009_madrid,retiro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_escuelas_aguirre,calle_pio_baroja_4_28009_madrid,retiro,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_fernando_el_católico,calle_fernando_el_catolico_16_28015_madrid,chamberi,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_fernando_el_católico,calle_fernando_el_catolico_16_28015_madrid,chamberi,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_isaac_albéniz,calle_dracena_29_28016_madrid,chamartin,energía_activa,kwh,25920,20220401,nan,empresa_desconocida
educativo,ceip_isaac_albéniz,calle_dracena_29_28016_madrid,chamartin,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_isaac_peral,glorieta_rufino_novalvos_5_28025_madrid,carabanchel,energía_activa,kwh,34080,20220401,nan,empresa_desconocida
educativo,ceip_isaac_peral,glorieta_rufino_novalvos_5_28025_madrid,carabanchel,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_isaac_peral,glorieta_rufino_novalvos_5_28025_madrid,carabanchel,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_joaquín_dicenta,paseo_de_los_olivos_70_28011_madrid,latina,energía_activa,kwh,1601720,20220401,nan,empresa_desconocida
educativo,ceip_joaquín_dicenta,paseo_de_los_olivos_70_28011_madrid,latina,energía_reactiva,kvarh,228740,20220401,nan,empresa_desconocida
educativo,ceip_joaquín_dicenta,paseo_de_los_olivos_70_28011_madrid,latina,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_josé_calvo_sotelo,avenida_ciudad_de_barcelona_83_28007_madrid,retiro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_josé_calvo_sotelo,avenida_ciudad_de_barcelona_83_28007_madrid,retiro,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_madroño,calle_las_marismas_14_28038_madrid,puente_de_vallecas,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_madroño,calle_las_marismas_14_28038_madrid,puente_de_vallecas,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
educativo,ceip_madroño,calle_las_marismas_14_28038_madrid,puente_de_vallecas,gas,m3,00,20220401,nan,empresa_desconocida
educativo,ceip_ntra_sra_de_la_paloma,calle_tabernillas_2_28005_madrid,centro,energía_activa,kwh,00,20220401,nan,empresa_desconocida
educativo,ceip_ntra_sra_de_la_paloma,calle_tabernillas_2_28005_madrid,centro,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
