Número,Código Ayto,Centro,Dirección,Coordenada-X,Coordenada-Y,Latitud,Longitud,Superficie (m2),Uso del edificio,Adscripción,Distrito,Potencia KWp,Empresa instaladora,Puesta en servicio
1.0,2178.0,BIBLIOTECA ÁNGEL GONZALEZ,"C/ GRANJA DE TORREHERMOSA, 2 ",434954.0,4472113.0,40.397074625115906,-3.7664885474841503,,cultural, AG Cultura Turismo y Deportes , Latina ,20.0,ORTIZ,2019-07-31
2.0,782.0,BIBLIOTECA IVÁN DE VARGAS,"C/ DOCTOR LETAMENDI, 1",439775.0,4473962.0,40.4141029084466,-3.70985912127358,,cultural, AG Cultura Turismo y Deportes , Centro ,3.0,ORTIZ,2019-07-24
3.0,2096.0,BIBLIOTECA EUGENIO TRIAS (CASA FIERAS),"AV/ MENENDEZ PELAYO , 10-3 BJ ",442345.0,4474221.0,40.4166091081099,-3.67959303680348,,cultural, AG Cultura Turismo y Deportes , Retiro ,,ORTIZ,2019-07-24
4.0,1046.0,PLANETARIO,AV/ PLANETARIO 16,441830.0,4471375.0,40.3909440818148,-3.68539115543989,3.062,cultural, AG Cultura Turismo y Deportes , Arganzuela ,25.0,FULTON,2019-09-13
5.0,2143.0,MADRID EMPRENDE,"C/CIDRO, 3 ",436689.0,4468938.0,40.368615544135,-3.74573026512817,,administrativo," AG Economía, Innovación y Empleo ", Carabanchel ,10.0,,
6.0,1779.0,MARES MADRID,C/ FRANCISCO LAGUNA 38,443153.0,4471330.0,40.390628,-3.669802,,administrativo," AG Economía, Innovación y Empleo ", Puente de Vallecas  ,7.0,,
7.0,2639.0,NAVE BOETTICHER,"C/ CIFUENTES, 22 28021 MADRID",440849.0,4466524.0,40.347177,-3.696499,,administrativo," AG Economía, Innovación y Empleo ", Villaverde ,5.0,,
8.0,,MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO,"PASEO ALBERTO PALACIOS, 13",439657.0,4466414.0,40.346099,-3.710522,,administrativo," AG Economía, Innovación y Empleo ", Villaverde ,7.0,AURA,2019-01-15
9.0,317.0,AULA DE LA NATURALEZA DEHESA DE LA VILLA,"C/ FRANCOS RODRIGUEZ, 97 ",439102.0,4478967.0,40.4591410411634,-3.71827056367926,,medioambiental, AG de Medio Ambiente y Movilidad , Moncloa Aravaca ,,,2008-08-13
10.0,,VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO,"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)",441779.0,4473428.0,40.4094350327911,-3.68617978009932,,medioambiental, AG de Medio Ambiente y Movilidad , Retiro ,5.0,,
