tipo del edificio,edificio,dirección,distrito,clase,unidades,consumo,puesta en servicio,potencia kwp,empresa instaladora
Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,Energía activa,kWh,13099.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,Energía Reactiva,kvarh,104.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,Energía activa,kWh,9688.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,Energía Reactiva,kvarh,4262.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,Energía activa,kWh,14630.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,Energía Reactiva,kvarh,4173.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,Energía activa,kWh,4308.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,Energía Reactiva,kvarh,1449.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca José Hierro,"CALLE MARIA SEVILLA DIAGO, 15 28022 MADRID",SAN BLAS - CANILLEJAS,Energía activa,kWh,2751.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca José Hierro,"CALLE MARIA SEVILLA DIAGO, 15 28022 MADRID",SAN BLAS - CANILLEJAS,Energía Reactiva,kvarh,80.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca José Hierro,"CALLE MARIA SEVILLA DIAGO, 15 28022 MADRID",SAN BLAS - CANILLEJAS,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca La Elipa - Islas Filipinas,"CALLE NUESTRA SEÑORA DEL VILLAR, 6 28017 MADRID",CIUDAD LINEAL,Energía activa,kWh,995.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca La Elipa - Islas Filipinas,"CALLE NUESTRA SEÑORA DEL VILLAR, 6 28017 MADRID",CIUDAD LINEAL,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca La Elipa - Islas Filipinas,"CALLE NUESTRA SEÑORA DEL VILLAR, 6 28017 MADRID",CIUDAD LINEAL,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Mario Vargas Llosa,"CALLE BARCELO, 4 28004 MADRID",CENTRO,Energía activa,kWh,3536.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Mario Vargas Llosa,"CALLE BARCELO, 4 28004 MADRID",CENTRO,Energía Reactiva,kvarh,1190.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Miguel Delibes,"CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID",MORATALAZ,Energía activa,kWh,5930.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Miguel Delibes,"CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID",MORATALAZ,Energía Reactiva,kvarh,1259.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Miguel Delibes,"CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID",MORATALAZ,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Pablo Neruda,"CALLE ASCAO, 4 28017 MADRID",CIUDAD LINEAL,Energía activa,kWh,4523.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Pablo Neruda,"CALLE ASCAO, 4 28017 MADRID",CIUDAD LINEAL,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Pío Baroja,"CALLE ARGANDA, 12 28005 MADRID",ARGANZUELA,Energía activa,kWh,4021.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Pío Baroja,"CALLE ARGANDA, 12 28005 MADRID",ARGANZUELA,Energía Reactiva,kvarh,933.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Pío Baroja,"CALLE ARGANDA, 12 28005 MADRID",ARGANZUELA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,CC Conde Duque,"CALLE CONDE DUQUE, 11 28015 MADRID",CENTRO,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,CC Conde Duque,"CALLE CONDE DUQUE, 11 28015 MADRID",CENTRO,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,CC La Vaguada,"AVENIDA  MONFORTE DE LEMOS, 38 28029 MADRID",FUENCARRAL - EL PARDO,Energía activa,kWh,17423.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,CC La Vaguada,"AVENIDA  MONFORTE DE LEMOS, 38 28029 MADRID",FUENCARRAL - EL PARDO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,CC Valdebernardo y Biblioteca Francisco Ayala,"BULEVAR INDALECIO PRIETO, 21 28032 MADRID",VICALVARO,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,CC Valdebernardo y Biblioteca Francisco Ayala,"BULEVAR INDALECIO PRIETO, 21 28032 MADRID",VICALVARO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,CC/BPM Gloria Fuertes,"AVENIDA LOGROÑO, 179 28042 MADRID",BARAJAS,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,CC/BPM Gloria Fuertes,"AVENIDA LOGROÑO, 179 28042 MADRID",BARAJAS,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros mixtos,CDI Arganzuela,"CALLE CANARIAS, 17 28045 MADRID",ARGANZUELA,Energía activa,kWh,41459.0,2020-03-01,,empresa desconocida
Centros mixtos,CDI Arganzuela,"CALLE CANARIAS, 17 28045 MADRID",ARGANZUELA,Energía Reactiva,kvarh,8505.0,2020-03-01,,empresa desconocida
Centros mixtos,CDI Arganzuela,"CALLE CANARIAS, 17 28045 MADRID",ARGANZUELA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Aluche,"AVENIDA DE LAS AGUILAS, 14 28044 MADRID",LATINA,Energía activa,kWh,20675.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Aluche,"AVENIDA DE LAS AGUILAS, 14 28044 MADRID",LATINA,Energía Reactiva,kvarh,1949.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Aluche,"AVENIDA DE LAS AGUILAS, 14 28044 MADRID",LATINA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Ángel Nieto - Puente de Vallecas,"CALLE PAYASO FOFO, 7 28018 MADRID",PUENTE DE VALLECAS,Energía activa,kWh,33145.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Ángel Nieto - Puente de Vallecas,"CALLE PAYASO FOFO, 7 28018 MADRID",PUENTE DE VALLECAS,Energía Reactiva,kvarh,8590.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Ángel Nieto - Puente de Vallecas,"CALLE PAYASO FOFO, 7 28018 MADRID",PUENTE DE VALLECAS,Gas,m3,9179.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Barajas,"AVENIDA LOGROÑO, 70 28042 MADRID",BARAJAS,Energía activa,kWh,45869.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Barajas,"AVENIDA LOGROÑO, 70 28042 MADRID",BARAJAS,Energía Reactiva,kvarh,2764.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Barajas,"AVENIDA LOGROÑO, 70 28042 MADRID",BARAJAS,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Cerro Almodóvar,"CALLE CERRO DE ALMODOVAR, 9 28007 MADRID",VILLA DE VALLECAS,Energía activa,kWh,35192.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Cerro Almodóvar,"CALLE CERRO DE ALMODOVAR, 9 28007 MADRID",VILLA DE VALLECAS,Energía Reactiva,kvarh,4859.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Concepción,"CALLE JOSE DEL HIERRO, 5 28027 MADRID",CIUDAD LINEAL,Energía activa,kWh,20775.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Concepción,"CALLE JOSE DEL HIERRO, 5 28027 MADRID",CIUDAD LINEAL,Energía Reactiva,kvarh,5530.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Concepción,"CALLE JOSE DEL HIERRO, 5 28027 MADRID",CIUDAD LINEAL,Gas,m3,8611.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Faustina Valladolid - Valdebernardo,"CALLE LADERA DE LOS ALMENDROS, 2 28032 MADRID",VICALVARO,Energía activa,kWh,52582.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Faustina Valladolid - Valdebernardo,"CALLE LADERA DE LOS ALMENDROS, 2 28032 MADRID",VICALVARO,Energía Reactiva,kvarh,890.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Faustina Valladolid - Valdebernardo,"CALLE LADERA DE LOS ALMENDROS, 2 28032 MADRID",VICALVARO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Gallur,"CALLE GALLUR, 2 28047 MADRID",LATINA,Energía activa,kWh,24989.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Gallur,"CALLE GALLUR, 2 28047 MADRID",LATINA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Gallur,"CALLE GALLUR, 2 28047 MADRID",LATINA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Hortaleza,"CARRETERA ESTACION DE HORTALEZA, 11 28033 MADRID",HORTALEZA,Energía activa,kWh,12927.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Hortaleza,"CARRETERA ESTACION DE HORTALEZA, 11 28033 MADRID",HORTALEZA,Energía Reactiva,kvarh,891.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Hortaleza,"CARRETERA ESTACION DE HORTALEZA, 11 28033 MADRID",HORTALEZA,Gas,m3,6350.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM La Elipa,"CALLE ALCALDE GARRIDO JUARISTI, 17 28030 MADRID",MORATALAZ,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM La Masó,"CALLE MASO, 80 (C/V VENTISQUERO DE LA CONDESA) 28034 MADRID",FUENCARRAL - EL PARDO,Energía activa,kWh,77416.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM La Masó,"CALLE MASO, 80 (C/V VENTISQUERO DE LA CONDESA) 28034 MADRID",FUENCARRAL - EL PARDO,Energía Reactiva,kvarh,8738.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM La Masó,"CALLE MASO, 80 (C/V VENTISQUERO DE LA CONDESA) 28034 MADRID",FUENCARRAL - EL PARDO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Luis Aragonés,"CALLE EL PROVENCIO, 20 28043 MADRID",HORTALEZA,Energía activa,kWh,30565.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Luis Aragonés,"CALLE EL PROVENCIO, 20 28043 MADRID",HORTALEZA,Energía Reactiva,kvarh,2574.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Luis Aragonés,"CALLE EL PROVENCIO, 20 28043 MADRID",HORTALEZA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Orcasitas,"AVENIDA RAFAELA YBARRA, 52 28026 MADRID",USERA,Energía activa,kWh,635.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Orcasitas,"AVENIDA RAFAELA YBARRA, 52 28026 MADRID",USERA,Energía activa,kWh,3933.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Orcasitas,"AVENIDA RAFAELA YBARRA, 52 28026 MADRID",USERA,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Orcasitas,"AVENIDA RAFAELA YBARRA, 52 28026 MADRID",USERA,Energía Reactiva,kvarh,1542.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Plata y Castañar,"PASEO PLATA Y CASTAÑAR, 7 28021 MADRID",VILLAVERDE,Energía activa,kWh,51373.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Plata y Castañar,"PASEO PLATA Y CASTAÑAR, 7 28021 MADRID",VILLAVERDE,Energía Reactiva,kvarh,1321.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Plata y Castañar,"PASEO PLATA Y CASTAÑAR, 7 28021 MADRID",VILLAVERDE,Gas,m3,12142.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Playa Victoria,"CALLE HIERBABUENA, 2 28039 MADRID",TETUAN,Energía activa,kWh,16068.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Playa Victoria,"CALLE HIERBABUENA, 2 28039 MADRID",TETUAN,Energía Reactiva,kvarh,1552.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Playa Victoria,"CALLE HIERBABUENA, 2 28039 MADRID",TETUAN,Gas,m3,4916.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Pueblo Nuevo,"CALLE FRANCISCO RIOJA, 14 28017 MADRID",CIUDAD LINEAL,Energía activa,kWh,15188.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Pueblo Nuevo,"CALLE FRANCISCO RIOJA, 14 28017 MADRID",CIUDAD LINEAL,Energía Reactiva,kvarh,6604.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Pueblo Nuevo,"CALLE FRANCISCO RIOJA, 14 28017 MADRID",CIUDAD LINEAL,Gas,m3,3660.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Samaranch,"PASEO IMPERIAL, 20 28005 MADRID",ARGANZUELA,Energía activa,kWh,53511.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Samaranch,"PASEO IMPERIAL, 20 28005 MADRID",ARGANZUELA,Gas,m3,14511.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM San Blas,"CALLE ARCOS DE JALON, 59 28037 MADRID",SAN BLAS - CANILLEJAS,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM San Juan Bautista,"CALLE TREVIANA, 1 28043 MADRID",CIUDAD LINEAL,Energía activa,kWh,18737.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM San Juan Bautista,"CALLE TREVIANA, 1 28043 MADRID",CIUDAD LINEAL,Energía Reactiva,kvarh,11411.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM San Juan Bautista,"CALLE TREVIANA, 1 28043 MADRID",CIUDAD LINEAL,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Vicente del Bosque,"AVENIDA MONFORTE DE LEMOS, 13 28029 MADRID",FUENCARRAL - EL PARDO,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Vicente del Bosque,"AVENIDA MONFORTE DE LEMOS, 13 28029 MADRID",FUENCARRAL - EL PARDO,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Wilfred Agbonavbare - Alberto García,"CALLE REGUERA DE TOMATEROS, 39B, 28053 MADRID",PUENTE DE VALLECAS,Energía activa,kWh,28350.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Wilfred Agbonavbare - Alberto García,"CALLE REGUERA DE TOMATEROS, 39B, 28053 MADRID",PUENTE DE VALLECAS,Energía Reactiva,kvarh,724.0,2020-03-01,,empresa desconocida
Centros deportivos,CDM Wilfred Agbonavbare - Alberto García,"CALLE REGUERA DE TOMATEROS, 39B, 28053 MADRID",PUENTE DE VALLECAS,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Bolivia,"CALLE VILLAVALIENTE, 29 28011 MADRID",LATINA,Energía activa,kWh,2188.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Bolivia,"CALLE VILLAVALIENTE, 29 28011 MADRID",LATINA,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Bolivia,"CALLE VILLAVALIENTE, 29 28011 MADRID",LATINA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Claudio Moyano,"CALLE CEA BERMUDEZ, 26 28003 MADRID",CHAMBERI,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Claudio Moyano,"CALLE CEA BERMUDEZ, 26 28003 MADRID",CHAMBERI,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Claudio Moyano,"CALLE CEA BERMUDEZ, 26 28003 MADRID",CHAMBERI,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Concepción Arenal,"CALLE ANTONIO LOPEZ, 1 28019 MADRID",CARABANCHEL,Energía activa,kWh,7099.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Concepción Arenal,"CALLE ANTONIO LOPEZ, 1 28019 MADRID",CARABANCHEL,Energía Reactiva,kvarh,1854.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Concepción Arenal,"CALLE ANTONIO LOPEZ, 1 28019 MADRID",CARABANCHEL,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Isaac Peral,"GLORIETA RUFINO NOVALVOS, 5 28025 MADRID",CARABANCHEL,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Isaac Peral,"GLORIETA RUFINO NOVALVOS, 5 28025 MADRID",CARABANCHEL,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Isaac Peral,"GLORIETA RUFINO NOVALVOS, 5 28025 MADRID",CARABANCHEL,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Madroño,"CALLE LAS MARISMAS, 14 28038 MADRID",PUENTE DE VALLECAS,Energía activa,kWh,1822.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Madroño,"CALLE LAS MARISMAS, 14 28038 MADRID",PUENTE DE VALLECAS,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Madroño,"CALLE LAS MARISMAS, 14 28038 MADRID",PUENTE DE VALLECAS,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Ntra Sra de la Paloma,"CALLE TABERNILLAS, 2 28005 MADRID",CENTRO,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Ntra Sra de la Paloma,"CALLE TABERNILLAS, 2 28005 MADRID",CENTRO,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Ntra Sra de la Paloma,"CALLE TABERNILLAS, 2 28005 MADRID",CENTRO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Ntra Sra Fuencisla,"CALLE TOMELLOSO, 39 28026 MADRID",USERA,Energía activa,kWh,3479.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Ntra Sra Fuencisla,"CALLE TOMELLOSO, 39 28026 MADRID",USERA,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Ntra Sra Fuencisla,"CALLE TOMELLOSO, 39 28026 MADRID",USERA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Pi i Margall,"PLAZA DOS DE MAYO, 2 28004 MADRID",CENTRO,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Pi i Margall,"PLAZA DOS DE MAYO, 2 28004 MADRID",CENTRO,Energía Reactiva,kvarh,-1082.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Pi i Margall,"PLAZA DOS DE MAYO, 2 28004 MADRID",CENTRO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Pradolongo,"CALLE PARQUE DE LA PALOMA, 9 28026 MADRID",USERA,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Pradolongo,"CALLE PARQUE DE LA PALOMA, 9 28026 MADRID",USERA,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Pradolongo,"CALLE PARQUE DE LA PALOMA, 9 28026 MADRID",USERA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Puerto Rico,"CALLE SEGURA, 74 28041 MADRID",USERA,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Puerto Rico,"CALLE SEGURA, 74 28041 MADRID",USERA,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Puerto Rico,"CALLE SEGURA, 74 28041 MADRID",USERA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Residencia San Ildefonso,"CALLE ALFONSO VI, 1 28005 MADRID",CENTRO,Energía activa,kWh,6495.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Residencia San Ildefonso,"CALLE ALFONSO VI, 1 28005 MADRID",CENTRO,Energía Reactiva,kvarh,2149.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Residencia San Ildefonso,"CALLE ALFONSO VI, 1 28005 MADRID",CENTRO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Vázquez de Mella,"CALLE BAILEN, 18 28005 MADRID",CENTRO,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Vázquez de Mella,"CALLE BAILEN, 18 28005 MADRID",CENTRO,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros escolares,CEIP Vázquez de Mella,"CALLE BAILEN, 18 28005 MADRID",CENTRO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Centro de Mayores San Francisco,"CALLE JERTE, 3 (ENTRADA POR CALLE SAN BUENAVENTURA, 3) 28005 MADRID",CENTRO,Energía activa,kWh,20949.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Centro de Mayores San Francisco,"CALLE JERTE, 3 (ENTRADA POR CALLE SAN BUENAVENTURA, 3) 28005 MADRID",CENTRO,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Centro de Mayores San Francisco,"CALLE JERTE, 3 (ENTRADA POR CALLE SAN BUENAVENTURA, 3) 28005 MADRID",CENTRO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros mixtos,Complejo La Vaguada,"AVENIDA MONFORTE DE LEMOS, 38-40 28029 MADRID",FUENCARRAL - EL PARDO,Energía activa,kWh,8165.0,2020-03-01,,empresa desconocida
Centros mixtos,Complejo La Vaguada,"AVENIDA MONFORTE DE LEMOS, 38-40 28029 MADRID",FUENCARRAL - EL PARDO,Energía Reactiva,kvarh,2693.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Complejo Sanchinarro,"C/ PRINCESA ÉBOLI, 29",HORTALEZA,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros administrativos,JMD Centro,"CALLE MAYOR, 72 28013 MADRID",CENTRO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros administrativos,JMD Fuencarral,"AVENIDA MONFORTE DE LEMOS, 40 28029 MADRID",FUENCARRAL - EL PARDO,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros deportivos,Pabellón Jesús Rollán,"CALLE AVENA, 11 28026 MADRID",USERA,Energía activa,kWh,26532.0,2020-03-01,,empresa desconocida
Centros deportivos,Pabellón Jesús Rollán,"CALLE AVENA, 11 28026 MADRID",USERA,Energía Reactiva,kvarh,255.0,2020-03-01,,empresa desconocida
Centros deportivos,Pabellón Jesús Rollán,"CALLE AVENA, 11 28026 MADRID",USERA,Gas,m3,13953.0,2020-03-01,,empresa desconocida
Centros mixtos,Palacio Cibeles,"PLAZA CIBELES, 1 28014 MADRID",RETIRO,Energía activa,kWh,333054.0,2020-03-01,,empresa desconocida
Centros administrativos,Sede AG Hacienda,"CALLE ALCALA, 45 28014 MADRID",CENTRO,Energía activa,kWh,0.0,2020-03-01,,empresa desconocida
Centros administrativos,Sede AG Hacienda,"CALLE ALCALA, 45 28014 MADRID",CENTRO,Energía Reactiva,kvarh,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,Energía activa,kWh,7386.0,2020-04-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,Energía Reactiva,kvarh,15.0,2020-04-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,Energía activa,kWh,2954.0,2020-04-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,Energía Reactiva,kvarh,1431.0,2020-04-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,Gas,m3,0.0,2020-04-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,Energía activa,kWh,4823.0,2020-04-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,Energía Reactiva,kvarh,0.0,2020-04-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,Gas,m3,0.0,2020-04-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,Energía activa,kWh,1431.0,2020-04-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,Energía Reactiva,kvarh,8.0,2020-04-01,,empresa desconocida
